d_date,fajr_begins,fajr_jamah,sunrise,zuhr_begins,zuhr_jamah,asr_mithl_1,asr_mithl_2,asr_jamah,maghrib_begins,maghrib_jamah,isha_begins,isha_jamah,is_ramadan,hijri_date
2020-06-15,03:39:00,04:39:00,04:43:00,13:01:00,14:31:00,17:24:00,17:24:00,18:09:00,21:48:00,21:53:00,22:23:00,22:38:00,0,0
2020-06-16,03:39:00,04:39:00,04:43:00,13:01:00,14:31:00,17:24:00,17:24:00,18:09:00,21:48:00,21:53:00,22:23:00,22:38:00,0,0
2020-06-17,03:39:00,04:39:00,04:43:00,13:02:00,14:32:00,17:24:00,17:24:00,18:09:00,21:49:00,21:54:00,22:24:00,22:39:00,0,0
2020-06-18,03:40:00,04:40:00,04:43:00,13:02:00,14:32:00,17:24:00,17:24:00,18:09:00,21:49:00,21:54:00,22:24:00,22:39:00,0,0
2020-06-19,03:40:00,04:40:00,04:43:00,13:02:00,14:32:00,17:25:00,17:25:00,18:10:00,21:49:00,21:54:00,22:24:00,22:39:00,0,0
2020-06-20,03:40:00,04:40:00,04:43:00,13:02:00,14:32:00,17:25:00,17:25:00,18:10:00,21:50:00,21:55:00,22:24:00,22:39:00,0,0
2020-06-21,03:40:00,04:40:00,04:43:00,13:02:00,14:32:00,17:25:00,17:25:00,18:10:00,21:50:00,21:55:00,22:25:00,22:40:00,0,0
2020-06-22,03:40:00,04:40:00,04:43:00,13:03:00,14:33:00,17:25:00,17:25:00,18:10:00,21:50:00,21:55:00,22:25:00,22:40:00,0,0
2020-06-23,03:41:00,04:41:00,04:44:00,13:03:00,14:33:00,17:26:00,17:26:00,18:11:00,21:50:00,21:55:00,22:25:00,22:40:00,0,0
2020-06-24,03:41:00,04:41:00,04:44:00,13:03:00,14:33:00,17:26:00,17:26:00,18:11:00,21:50:00,21:55:00,22:25:00,22:40:00,0,0
2020-06-25,03:41:00,04:41:00,04:45:00,13:03:00,14:33:00,17:26:00,17:26:00,18:11:00,21:50:00,21:55:00,22:25:00,22:40:00,0,0
2020-06-26,03:42:00,04:42:00,04:45:00,13:03:00,14:33:00,17:26:00,17:26:00,18:11:00,21:50:00,21:55:00,22:25:00,22:40:00,0,0
2020-06-27,03:42:00,04:42:00,04:45:00,13:04:00,14:34:00,17:26:00,17:26:00,18:11:00,21:50:00,21:55:00,22:25:00,22:40:00,0,0
2020-06-28,03:43:00,04:43:00,04:46:00,13:04:00,14:34:00,17:26:00,17:26:00,18:11:00,21:50:00,21:55:00,22:25:00,22:40:00,0,0
2020-06-29,03:43:00,04:43:00,04:47:00,13:04:00,14:34:00,17:26:00,17:26:00,18:11:00,21:49:00,21:54:00,22:25:00,22:40:00,0,0
2020-06-30,03:44:00,04:44:00,04:47:00,13:04:00,14:34:00,17:26:00,17:26:00,18:11:00,21:49:00,21:54:00,22:25:00,22:40:00,0,0
2020-07-01,03:44:00,04:44:00,04:48:00,13:04:00,14:34:00,17:26:00,17:26:00,18:11:00,21:49:00,21:54:00,22:25:00,22:40:00,0,0
2020-07-02,03:45:00,04:45:00,04:49:00,13:05:00,14:35:00,17:26:00,17:26:00,18:11:00,21:48:00,21:53:00,22:24:00,22:39:00,0,0
2020-07-03,03:45:00,04:45:00,04:49:00,13:05:00,14:35:00,17:26:00,17:26:00,18:11:00,21:48:00,21:53:00,22:24:00,22:39:00,0,0
2020-07-04,03:46:00,04:46:00,04:50:00,13:05:00,14:35:00,17:26:00,17:26:00,18:11:00,21:47:00,21:52:00,22:24:00,22:39:00,0,0
2020-07-05,03:46:00,04:46:00,04:51:00,13:05:00,14:35:00,17:26:00,17:26:00,18:11:00,21:46:00,21:51:00,22:23:00,22:38:00,0,0
2020-07-06,03:47:00,04:47:00,04:52:00,13:05:00,14:35:00,17:26:00,17:26:00,18:11:00,21:46:00,21:51:00,22:23:00,22:38:00,0,0
2020-07-07,03:48:00,04:48:00,04:53:00,13:05:00,14:35:00,17:26:00,17:26:00,18:11:00,21:45:00,21:50:00,22:23:00,22:38:00,0,0
2020-07-08,03:49:00,04:49:00,04:54:00,13:06:00,14:36:00,17:26:00,17:26:00,18:11:00,21:44:00,21:49:00,22:22:00,22:37:00,0,0
2020-07-09,03:49:00,04:49:00,04:55:00,13:06:00,14:36:00,17:26:00,17:26:00,18:11:00,21:43:00,21:48:00,22:22:00,22:37:00,0,0
2020-07-10,03:50:00,04:50:00,04:56:00,13:06:00,14:36:00,17:26:00,17:26:00,18:11:00,21:43:00,21:48:00,22:21:00,22:36:00,0,0
2020-07-11,03:51:00,04:51:00,04:57:00,13:06:00,14:36:00,17:26:00,17:26:00,18:11:00,21:42:00,21:47:00,22:21:00,22:36:00,0,0
2020-07-12,03:52:00,04:52:00,04:58:00,13:06:00,14:36:00,17:25:00,17:25:00,18:10:00,21:41:00,21:46:00,22:20:00,22:35:00,0,0
2020-07-13,03:53:00,04:53:00,04:59:00,13:06:00,14:36:00,17:25:00,17:25:00,18:10:00,21:40:00,21:45:00,22:20:00,22:35:00,0,0
2020-07-14,03:53:00,04:53:00,05:00:00,13:06:00,14:36:00,17:25:00,17:25:00,18:10:00,21:39:00,21:44:00,22:19:00,22:34:00,0,0
2020-07-15,03:54:00,04:54:00,05:01:00,13:07:00,14:37:00,17:25:00,17:25:00,18:10:00,21:37:00,21:42:00,22:18:00,22:33:00,0,0
2020-07-16,03:55:00,04:55:00,05:03:00,13:07:00,14:37:00,17:24:00,17:24:00,18:09:00,21:36:00,21:41:00,22:17:00,22:32:00,0,0
2020-07-17,03:56:00,04:56:00,05:04:00,13:07:00,14:37:00,17:24:00,17:24:00,18:09:00,21:35:00,21:40:00,22:17:00,22:32:00,0,0
2020-07-18,03:57:00,04:57:00,05:05:00,13:07:00,14:37:00,17:24:00,17:24:00,18:09:00,21:34:00,21:39:00,22:16:00,22:31:00,0,0
2020-07-19,03:58:00,04:58:00,05:06:00,13:07:00,14:37:00,17:23:00,17:23:00,18:08:00,21:33:00,21:38:00,22:15:00,22:30:00,0,0
2020-07-20,03:59:00,04:59:00,05:08:00,13:07:00,14:37:00,17:23:00,17:23:00,18:08:00,21:31:00,21:36:00,22:14:00,22:29:00,0,0
2020-07-21,04:00:00,05:00:00,05:09:00,13:07:00,14:37:00,17:22:00,17:22:00,18:07:00,21:30:00,21:35:00,22:13:00,22:28:00,0,0
2020-07-22,04:01:00,05:01:00,05:10:00,13:07:00,14:37:00,17:22:00,17:22:00,18:07:00,21:28:00,21:33:00,22:12:00,22:27:00,0,0
2020-07-23,04:02:00,05:02:00,05:12:00,13:07:00,14:37:00,17:22:00,17:22:00,18:07:00,21:27:00,21:32:00,22:12:00,22:27:00,0,0
2020-07-24,04:03:00,05:03:00,05:13:00,13:07:00,14:37:00,17:21:00,17:21:00,18:06:00,21:25:00,21:30:00,22:11:00,22:26:00,0,0
2020-07-25,04:04:00,05:04:00,05:15:00,13:07:00,14:37:00,17:20:00,17:20:00,18:05:00,21:24:00,21:29:00,22:10:00,22:25:00,0,0
2020-07-26,04:05:00,05:05:00,05:16:00,13:07:00,14:37:00,17:20:00,17:20:00,18:05:00,21:22:00,21:27:00,22:09:00,22:24:00,0,0
2020-07-27,04:06:00,05:06:00,05:17:00,13:07:00,14:37:00,17:19:00,17:19:00,18:04:00,21:21:00,21:26:00,22:07:00,22:22:00,0,0
2020-07-28,04:07:00,05:07:00,05:19:00,13:07:00,14:37:00,17:19:00,17:19:00,18:04:00,21:19:00,21:24:00,22:06:00,22:21:00,0,0
2020-07-29,04:08:00,05:08:00,05:20:00,13:07:00,14:37:00,17:18:00,17:18:00,18:03:00,21:17:00,21:22:00,22:05:00,22:20:00,0,0
2020-07-30,04:09:00,05:09:00,05:22:00,13:07:00,14:37:00,17:18:00,17:18:00,18:03:00,21:16:00,21:21:00,22:04:00,22:19:00,0,0
2020-07-31,04:10:00,05:10:00,05:23:00,13:07:00,14:37:00,17:17:00,17:17:00,18:02:00,21:14:00,21:19:00,22:03:00,22:18:00,0,0
2020-08-01,04:11:00,05:11:00,05:25:00,13:07:00,14:37:00,17:16:00,17:16:00,18:01:00,21:12:00,21:17:00,22:02:00,22:17:00,0,0
2020-08-02,04:12:00,05:12:00,05:26:00,13:07:00,14:37:00,17:15:00,17:15:00,18:00:00,21:10:00,21:15:00,22:01:00,22:16:00,0,0
2020-08-03,04:13:00,05:13:00,05:28:00,13:07:00,14:37:00,17:15:00,17:15:00,18:00:00,21:09:00,21:14:00,21:59:00,22:14:00,0,0
2020-08-04,04:14:00,05:14:00,05:29:00,13:07:00,14:37:00,17:14:00,17:14:00,17:59:00,21:07:00,21:12:00,21:58:00,22:13:00,0,0
2020-08-05,04:15:00,05:15:00,05:31:00,13:06:00,14:36:00,17:13:00,17:13:00,17:58:00,21:05:00,21:10:00,21:57:00,22:12:00,0,0
2020-08-06,04:16:00,05:16:00,05:33:00,13:06:00,14:36:00,17:12:00,17:12:00,17:57:00,21:03:00,21:08:00,21:55:00,22:10:00,0,0
2020-08-07,04:17:00,05:17:00,05:34:00,13:06:00,14:36:00,17:11:00,17:11:00,17:56:00,21:01:00,21:06:00,21:54:00,22:09:00,0,0
2020-08-08,04:18:00,05:18:00,05:36:00,13:06:00,14:36:00,17:11:00,17:11:00,17:56:00,20:59:00,21:04:00,21:53:00,22:08:00,0,0
2020-08-09,04:20:00,05:20:00,05:37:00,13:06:00,14:36:00,17:10:00,17:10:00,17:55:00,20:57:00,21:02:00,21:51:00,22:06:00,0,0
2020-08-10,04:21:00,05:21:00,05:39:00,13:06:00,14:36:00,17:09:00,17:09:00,17:54:00,20:55:00,21:00:00,21:50:00,22:05:00,0,0
2020-08-11,04:22:00,05:22:00,05:40:00,13:06:00,14:36:00,17:08:00,17:08:00,17:53:00,20:53:00,20:58:00,21:49:00,22:04:00,0,0
2020-08-12,04:23:00,05:23:00,05:42:00,13:05:00,14:35:00,17:07:00,17:07:00,17:52:00,20:51:00,20:56:00,21:47:00,22:02:00,0,0
2020-08-13,04:24:00,05:24:00,05:43:00,13:05:00,14:35:00,17:06:00,17:06:00,17:51:00,20:49:00,20:54:00,21:46:00,22:01:00,0,0
2020-08-14,04:25:00,05:25:00,05:45:00,13:05:00,14:35:00,17:05:00,17:05:00,17:50:00,20:47:00,20:52:00,21:44:00,21:59:00,0,0
2020-08-15,04:26:00,05:26:00,05:47:00,13:05:00,14:35:00,17:04:00,17:04:00,17:49:00,20:45:00,20:50:00,21:43:00,21:58:00,0,0
2020-08-16,04:27:00,05:27:00,05:48:00,13:05:00,14:35:00,17:03:00,17:03:00,17:48:00,20:43:00,20:48:00,21:41:00,21:56:00,0,0
2020-08-17,04:28:00,05:28:00,05:50:00,13:04:00,14:34:00,17:02:00,17:02:00,17:47:00,20:41:00,20:46:00,21:40:00,21:55:00,0,0
2020-08-18,04:29:00,05:29:00,05:51:00,13:04:00,14:34:00,17:01:00,17:01:00,17:46:00,20:38:00,20:43:00,21:38:00,21:53:00,0,0
2020-08-19,04:30:00,05:30:00,05:53:00,13:04:00,14:34:00,16:59:00,16:59:00,17:44:00,20:36:00,20:41:00,21:37:00,21:52:00,0,0
2020-08-20,04:31:00,05:31:00,05:55:00,13:04:00,14:34:00,16:58:00,16:58:00,17:43:00,20:34:00,20:39:00,21:35:00,21:50:00,0,0
2020-08-21,04:32:00,05:32:00,05:56:00,13:03:00,14:33:00,16:57:00,16:57:00,17:42:00,20:32:00,20:37:00,21:34:00,21:49:00,0,0
2020-08-22,04:33:00,05:33:00,05:58:00,13:03:00,14:33:00,16:56:00,16:56:00,17:41:00,20:30:00,20:35:00,21:32:00,21:47:00,0,0
2020-08-23,04:35:00,05:35:00,05:59:00,13:03:00,14:33:00,16:55:00,16:55:00,17:40:00,20:28:00,20:33:00,21:30:00,21:45:00,0,0
2020-08-24,04:36:00,05:36:00,06:01:00,13:03:00,14:33:00,16:54:00,16:54:00,17:39:00,20:25:00,20:30:00,21:29:00,21:44:00,0,0
2020-08-25,04:37:00,05:37:00,06:03:00,13:02:00,14:32:00,16:52:00,16:52:00,17:37:00,20:23:00,20:28:00,21:27:00,21:42:00,0,0
2020-08-26,04:38:00,05:38:00,06:04:00,13:02:00,14:32:00,16:51:00,16:51:00,17:36:00,20:21:00,20:26:00,21:26:00,21:41:00,0,0
2020-08-27,04:39:00,05:39:00,06:06:00,13:02:00,14:32:00,16:50:00,16:50:00,17:35:00,20:19:00,20:24:00,21:24:00,21:39:00,0,0
2020-08-28,04:40:00,05:40:00,06:07:00,13:02:00,14:32:00,16:48:00,16:48:00,17:33:00,20:16:00,20:21:00,21:22:00,21:37:00,0,0
2020-08-29,04:41:00,05:41:00,06:09:00,13:01:00,14:31:00,16:47:00,16:47:00,17:32:00,20:14:00,20:19:00,21:21:00,21:36:00,0,0
2020-08-30,04:42:00,05:42:00,06:11:00,13:01:00,14:31:00,16:46:00,16:46:00,17:31:00,20:12:00,20:17:00,21:19:00,21:34:00,0,0
2020-08-31,04:43:00,05:43:00,06:12:00,13:01:00,14:31:00,16:44:00,16:44:00,17:29:00,20:09:00,20:14:00,21:17:00,21:32:00,0,0
2020-09-01,04:44:00,05:44:00,06:14:00,13:00:00,14:30:00,16:43:00,16:43:00,17:28:00,20:07:00,20:12:00,21:16:00,21:31:00,0,0
2020-09-02,04:45:00,05:45:00,06:15:00,13:00:00,14:30:00,16:42:00,16:42:00,17:27:00,20:05:00,20:10:00,21:14:00,21:29:00,0,0
2020-09-03,04:46:00,05:46:00,06:17:00,13:00:00,14:30:00,16:40:00,16:40:00,17:25:00,20:03:00,20:08:00,21:12:00,21:27:00,0,0
2020-09-04,04:47:00,05:47:00,06:18:00,12:59:00,14:29:00,16:39:00,16:39:00,17:24:00,20:00:00,20:05:00,21:11:00,21:26:00,0,0
2020-09-05,04:48:00,05:48:00,06:20:00,12:59:00,14:29:00,16:37:00,16:37:00,17:22:00,19:58:00,20:03:00,21:09:00,21:24:00,0,0
2020-09-06,04:49:00,05:49:00,06:22:00,12:59:00,14:29:00,16:36:00,16:36:00,17:21:00,19:56:00,20:01:00,21:07:00,21:22:00,0,0
2020-09-07,04:50:00,05:50:00,06:23:00,12:58:00,14:28:00,16:34:00,16:34:00,17:19:00,19:53:00,19:58:00,21:05:00,21:20:00,0,0
2020-09-08,04:51:00,05:51:00,06:25:00,12:58:00,14:28:00,16:33:00,16:33:00,17:18:00,19:51:00,19:56:00,21:04:00,21:19:00,0,0
2020-09-09,04:52:00,05:52:00,06:26:00,12:58:00,14:28:00,16:31:00,16:31:00,17:16:00,19:49:00,19:54:00,21:02:00,21:17:00,0,0
2020-09-10,04:53:00,05:53:00,06:28:00,12:57:00,14:27:00,16:30:00,16:30:00,17:15:00,19:46:00,19:51:00,21:00:00,21:15:00,0,0
2020-09-11,04:54:00,05:54:00,06:30:00,12:57:00,14:27:00,16:28:00,16:28:00,17:13:00,19:44:00,19:49:00,20:58:00,21:13:00,0,0
2020-09-12,04:55:00,05:55:00,06:31:00,12:57:00,14:27:00,16:27:00,16:27:00,17:12:00,19:42:00,19:47:00,20:56:00,21:11:00,0,0
2020-09-13,04:56:00,05:56:00,06:33:00,12:56:00,14:26:00,16:25:00,16:25:00,17:10:00,19:39:00,19:44:00,20:54:00,21:09:00,0,0
2020-09-14,04:58:00,05:58:00,06:34:00,12:56:00,14:26:00,16:24:00,16:24:00,17:09:00,19:37:00,19:42:00,20:51:00,21:06:00,0,0
2020-09-15,04:59:00,05:59:00,06:36:00,12:56:00,14:26:00,16:22:00,16:22:00,17:07:00,19:35:00,19:40:00,20:49:00,21:04:00,0,0
2020-09-16,05:00:00,06:00:00,06:38:00,12:55:00,14:25:00,16:20:00,16:20:00,17:05:00,19:32:00,19:37:00,20:46:00,21:01:00,0,0
2020-09-17,05:01:00,06:01:00,06:39:00,12:55:00,14:25:00,16:19:00,16:19:00,17:04:00,19:30:00,19:35:00,20:43:00,20:58:00,0,0
2020-09-18,05:02:00,06:02:00,06:41:00,12:54:00,14:24:00,16:17:00,16:17:00,17:02:00,19:28:00,19:33:00,20:41:00,20:56:00,0,0
2020-09-19,05:03:00,06:03:00,06:42:00,12:54:00,14:24:00,16:16:00,16:16:00,17:01:00,19:25:00,19:30:00,20:38:00,20:53:00,0,0
2020-09-20,05:04:00,06:04:00,06:44:00,12:54:00,14:24:00,16:14:00,16:14:00,16:59:00,19:23:00,19:28:00,20:36:00,20:51:00,0,0
2020-09-21,05:05:00,06:05:00,06:46:00,12:53:00,14:23:00,16:12:00,16:12:00,16:57:00,19:21:00,19:26:00,20:33:00,20:48:00,0,0
2020-09-22,05:06:00,06:06:00,06:47:00,12:53:00,14:23:00,16:11:00,16:11:00,16:56:00,19:18:00,19:23:00,20:31:00,20:46:00,0,0
2020-09-23,05:07:00,06:07:00,06:49:00,12:53:00,14:23:00,16:09:00,16:09:00,16:54:00,19:16:00,19:21:00,20:28:00,20:43:00,0,0
2020-09-24,05:08:00,06:08:00,06:50:00,12:52:00,14:22:00,16:07:00,16:07:00,16:52:00,19:14:00,19:19:00,20:26:00,20:41:00,0,0
2020-09-25,05:09:00,06:09:00,06:52:00,12:52:00,14:22:00,16:06:00,16:06:00,16:51:00,19:11:00,19:16:00,20:23:00,20:38:00,0,0
2020-09-26,05:10:00,06:10:00,06:54:00,12:52:00,14:22:00,16:04:00,16:04:00,16:49:00,19:09:00,19:14:00,20:21:00,20:36:00,0,0
2020-09-27,05:11:00,06:11:00,06:55:00,12:51:00,14:21:00,16:02:00,16:02:00,16:47:00,19:07:00,19:12:00,20:18:00,20:33:00,0,0
2020-09-28,05:12:00,06:12:00,06:57:00,12:51:00,14:21:00,16:01:00,16:01:00,16:46:00,19:04:00,19:09:00,20:16:00,20:31:00,0,0
2020-09-29,05:13:00,06:13:00,06:58:00,12:51:00,14:21:00,15:59:00,15:59:00,16:44:00,19:02:00,19:07:00,20:14:00,20:29:00,0,0
2020-09-30,05:14:00,06:14:00,07:00:00,12:50:00,14:20:00,15:57:00,15:57:00,16:42:00,19:00:00,19:05:00,20:11:00,20:26:00,0,0
2020-10-01,05:15:00,06:15:00,07:02:00,12:50:00,14:20:00,15:56:00,15:56:00,16:41:00,18:58:00,19:03:00,20:09:00,20:24:00,0,0
2020-10-02,05:16:00,06:16:00,07:03:00,12:50:00,14:20:00,15:54:00,15:54:00,16:39:00,18:55:00,19:00:00,20:07:00,20:22:00,0,0
2020-10-03,05:18:00,06:18:00,07:05:00,12:49:00,14:19:00,15:52:00,15:52:00,16:37:00,18:53:00,18:58:00,20:04:00,20:19:00,0,0
2020-10-04,05:19:00,06:19:00,07:07:00,12:49:00,14:19:00,15:50:00,15:50:00,16:35:00,18:51:00,18:56:00,20:02:00,20:17:00,0,0
2020-10-05,05:20:00,06:20:00,07:08:00,12:49:00,14:19:00,15:49:00,15:49:00,16:34:00,18:49:00,18:54:00,20:00:00,20:15:00,0,0
2020-10-06,05:21:00,06:21:00,07:10:00,12:48:00,14:18:00,15:47:00,15:47:00,16:32:00,18:46:00,18:51:00,19:57:00,20:12:00,0,0
2020-10-07,05:22:00,06:22:00,07:12:00,12:48:00,14:18:00,15:45:00,15:45:00,16:30:00,18:44:00,18:49:00,19:55:00,20:10:00,0,0
2020-10-08,05:23:00,06:23:00,07:13:00,12:48:00,14:18:00,15:44:00,15:44:00,16:29:00,18:42:00,18:47:00,19:53:00,20:08:00,0,0
2020-10-09,05:24:00,06:24:00,07:15:00,12:48:00,14:18:00,15:42:00,15:42:00,16:27:00,18:40:00,18:45:00,19:51:00,20:06:00,0,0
2020-10-10,05:25:00,06:25:00,07:17:00,12:47:00,14:17:00,15:40:00,15:40:00,16:25:00,18:38:00,18:43:00,19:49:00,20:04:00,0,0
2020-10-11,05:26:00,06:26:00,07:18:00,12:47:00,14:17:00,15:39:00,15:39:00,16:24:00,18:36:00,18:41:00,19:46:00,20:01:00,0,0
2020-10-12,05:27:00,06:27:00,07:20:00,12:47:00,14:17:00,15:37:00,15:37:00,16:22:00,18:33:00,18:38:00,19:44:00,19:59:00,0,0
2020-10-13,05:29:00,06:29:00,07:22:00,12:47:00,14:17:00,15:35:00,15:35:00,16:20:00,18:31:00,18:36:00,19:42:00,19:57:00,0,0
2020-10-14,05:30:00,06:30:00,07:23:00,12:46:00,14:16:00,15:34:00,15:34:00,16:19:00,18:29:00,18:34:00,19:40:00,19:55:00,0,0
2020-10-15,05:31:00,06:31:00,07:25:00,12:46:00,14:16:00,15:32:00,15:32:00,16:17:00,18:27:00,18:32:00,19:38:00,19:53:00,0,0
2020-10-16,05:32:00,06:32:00,07:27:00,12:46:00,14:16:00,15:30:00,15:30:00,16:15:00,18:25:00,18:30:00,19:36:00,19:51:00,0,0
2020-10-17,05:33:00,06:33:00,07:28:00,12:46:00,14:16:00,15:29:00,15:29:00,16:14:00,18:23:00,18:28:00,19:34:00,19:49:00,0,0
2020-10-18,05:34:00,06:34:00,07:30:00,12:46:00,14:16:00,15:27:00,15:27:00,16:12:00,18:21:00,18:26:00,19:32:00,19:47:00,0,0
2020-10-19,05:36:00,06:36:00,07:32:00,12:45:00,14:15:00,15:25:00,15:25:00,16:10:00,18:19:00,18:24:00,19:30:00,19:45:00,0,0
2020-10-20,05:37:00,06:37:00,07:34:00,12:45:00,14:15:00,15:24:00,15:24:00,16:09:00,18:17:00,18:22:00,19:28:00,19:43:00,0,0
2020-10-21,05:38:00,06:38:00,07:35:00,12:45:00,14:15:00,15:22:00,15:22:00,16:07:00,18:15:00,18:20:00,19:26:00,19:41:00,0,0
2020-10-22,05:39:00,06:39:00,07:37:00,12:45:00,14:15:00,15:21:00,15:21:00,16:06:00,18:13:00,18:18:00,19:24:00,19:39:00,0,0
2020-10-23,05:40:00,06:40:00,07:39:00,12:45:00,14:15:00,15:19:00,15:19:00,16:04:00,18:11:00,18:16:00,19:22:00,19:37:00,0,0
2020-10-24,05:42:00,06:42:00,07:41:00,12:45:00,14:15:00,15:17:00,15:17:00,16:02:00,18:09:00,18:14:00,19:20:00,19:35:00,0,0
2020-10-25,05:43:00,06:43:00,07:42:00,12:44:00,14:14:00,15:16:00,15:16:00,16:01:00,18:07:00,18:12:00,19:19:00,19:34:00,0,0
2020-10-26,05:44:00,06:44:00,07:44:00,12:44:00,14:14:00,15:14:00,15:14:00,15:59:00,18:05:00,18:10:00,19:17:00,19:32:00,0,0
2020-10-27,05:45:00,06:45:00,07:46:00,12:44:00,14:14:00,15:13:00,15:13:00,15:58:00,18:03:00,18:08:00,19:15:00,19:30:00,0,0
2020-10-28,05:46:00,06:46:00,07:48:00,12:44:00,14:14:00,15:11:00,15:11:00,15:56:00,18:01:00,18:06:00,19:13:00,19:28:00,0,0
2020-10-29,05:48:00,06:48:00,07:49:00,12:44:00,14:14:00,15:10:00,15:10:00,15:55:00,18:00:00,18:05:00,19:12:00,19:27:00,0,0
2020-10-30,05:49:00,06:49:00,07:51:00,12:44:00,14:14:00,15:08:00,15:08:00,15:53:00,17:58:00,18:03:00,19:10:00,19:25:00,0,0
2020-10-31,05:50:00,06:50:00,07:53:00,12:44:00,14:14:00,15:07:00,15:07:00,15:52:00,17:56:00,18:01:00,19:08:00,19:23:00,0,0
2020-11-01,05:51:00,06:51:00,07:55:00,12:44:00,14:14:00,15:05:00,15:05:00,15:50:00,17:54:00,17:59:00,19:07:00,19:22:00,0,0
2020-11-02,05:53:00,06:53:00,07:56:00,12:44:00,14:14:00,15:04:00,15:04:00,15:49:00,17:53:00,17:58:00,19:05:00,19:20:00,0,0
2020-11-03,05:54:00,06:54:00,07:58:00,12:44:00,14:14:00,15:03:00,15:03:00,15:48:00,17:51:00,17:56:00,19:04:00,19:19:00,0,0
2020-11-04,05:55:00,06:55:00,08:00:00,12:44:00,14:14:00,15:01:00,15:01:00,15:46:00,17:49:00,17:54:00,19:02:00,19:17:00,0,0
2020-11-05,05:56:00,06:56:00,08:02:00,12:44:00,14:14:00,15:00:00,15:00:00,15:45:00,17:48:00,17:53:00,19:01:00,19:16:00,0,0
2020-11-06,05:58:00,06:58:00,08:03:00,12:44:00,14:14:00,14:59:00,14:59:00,15:44:00,17:46:00,17:51:00,18:59:00,19:14:00,0,0
2020-11-07,05:59:00,06:59:00,08:05:00,12:44:00,14:14:00,14:57:00,14:57:00,15:42:00,17:45:00,17:50:00,18:58:00,19:13:00,0,0
2020-11-08,06:00:00,07:00:00,08:07:00,12:44:00,14:14:00,14:56:00,14:56:00,15:41:00,17:43:00,17:48:00,18:57:00,19:12:00,0,0
2020-11-09,06:02:00,07:02:00,08:09:00,12:44:00,14:14:00,14:55:00,14:55:00,15:40:00,17:42:00,17:47:00,18:55:00,19:10:00,0,0
2020-11-10,06:03:00,07:03:00,08:10:00,12:44:00,14:14:00,14:54:00,14:54:00,15:39:00,17:40:00,17:45:00,18:54:00,19:09:00,0,0
2020-11-11,06:04:00,07:04:00,08:12:00,12:45:00,14:15:00,14:53:00,14:53:00,15:38:00,17:39:00,17:44:00,18:53:00,19:08:00,0,0
2020-11-12,06:05:00,07:05:00,08:14:00,12:45:00,14:15:00,14:51:00,14:51:00,15:36:00,17:37:00,17:42:00,18:51:00,19:06:00,0,0
2020-11-13,06:07:00,07:07:00,08:16:00,12:45:00,14:15:00,14:50:00,14:50:00,15:35:00,17:36:00,17:41:00,18:50:00,19:05:00,0,0
2020-11-14,06:08:00,07:08:00,08:17:00,12:45:00,14:15:00,14:49:00,14:49:00,15:34:00,17:35:00,17:40:00,18:49:00,19:04:00,0,0
2020-11-15,06:09:00,07:09:00,08:19:00,12:45:00,14:15:00,14:48:00,14:48:00,15:33:00,17:33:00,17:38:00,18:48:00,19:03:00,0,0
2020-11-16,06:11:00,07:11:00,08:21:00,12:45:00,14:15:00,14:47:00,14:47:00,15:32:00,17:32:00,17:37:00,18:47:00,19:02:00,0,0
2020-11-17,06:12:00,07:12:00,08:22:00,12:46:00,14:16:00,14:46:00,14:46:00,15:31:00,17:31:00,17:36:00,18:46:00,19:01:00,0,0
2020-11-18,06:13:00,07:13:00,08:24:00,12:46:00,14:16:00,14:45:00,14:45:00,15:30:00,17:30:00,17:35:00,18:45:00,19:00:00,0,0
2020-11-19,06:15:00,07:15:00,08:26:00,12:46:00,14:16:00,14:44:00,14:44:00,15:29:00,17:29:00,17:34:00,18:44:00,18:59:00,0,0
2020-11-20,06:16:00,07:16:00,08:27:00,12:46:00,14:16:00,14:44:00,14:44:00,15:29:00,17:28:00,17:33:00,18:43:00,18:58:00,0,0
2020-11-21,06:17:00,07:17:00,08:29:00,12:46:00,14:16:00,14:43:00,14:43:00,15:28:00,17:27:00,17:32:00,18:42:00,18:57:00,0,0
2020-11-22,06:19:00,07:19:00,08:31:00,12:47:00,14:17:00,14:42:00,14:42:00,15:27:00,17:26:00,17:31:00,18:42:00,18:57:00,0,0
2020-11-23,06:20:00,07:20:00,08:32:00,12:47:00,14:17:00,14:41:00,14:41:00,15:26:00,17:25:00,17:30:00,18:41:00,18:56:00,0,0
2020-11-24,06:21:00,07:21:00,08:34:00,12:47:00,14:17:00,14:40:00,14:40:00,15:25:00,17:24:00,17:29:00,18:40:00,18:55:00,0,0
2020-11-25,06:22:00,07:22:00,08:35:00,12:48:00,14:18:00,14:40:00,14:40:00,15:25:00,17:23:00,17:28:00,18:39:00,18:54:00,0,0
2020-11-26,06:24:00,07:24:00,08:37:00,12:48:00,14:18:00,14:39:00,14:39:00,15:24:00,17:22:00,17:27:00,18:39:00,18:54:00,0,0
2020-11-27,06:25:00,07:25:00,08:38:00,12:48:00,14:18:00,14:39:00,14:39:00,15:24:00,17:21:00,17:26:00,18:38:00,18:53:00,0,0
2020-11-28,06:26:00,07:26:00,08:40:00,12:49:00,14:19:00,14:38:00,14:38:00,15:23:00,17:21:00,17:26:00,18:38:00,18:53:00,0,0
